Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.4032,0.4017,0.4058,0.3924,122.34M,0.39%
9/27/2024,0.4017,0.4016,0.4153,0.3999,148.17M,0.00%
9/26/2024,0.4016,0.3811,0.4037,0.3782,165.03M,5.38%
9/25/2024,0.3811,0.3876,0.3933,0.3791,131.80M,-1.67%
9/24/2024,0.3876,0.3638,0.3915,0.3585,144.93M,6.54%
9/23/2024,0.3638,0.3517,0.3655,0.3458,118.71M,3.44%
9/22/2024,0.3517,0.3583,0.3592,0.3432,85.02M,-1.84%
9/21/2024,0.3583,0.3522,0.3598,0.3506,73.82M,1.74%
9/20/2024,0.3522,0.351,0.3612,0.349,123.45M,0.33%
9/19/2024,0.351,0.3438,0.3563,0.3438,173.85M,2.09%
9/18/2024,0.3438,0.3339,0.3439,0.3274,145.20M,2.96%
9/17/2024,0.3339,0.3302,0.3429,0.3286,125.79M,1.13%
9/16/2024,0.3302,0.3386,0.3386,0.3265,134.49M,-2.51%
9/15/2024,0.3386,0.3539,0.3562,0.3349,123.33M,-4.33%
9/14/2024,0.3539,0.3605,0.3616,0.3515,98.83M,-1.83%
9/13/2024,0.3605,0.3562,0.3647,0.3505,129.40M,1.23%
9/12/2024,0.3562,0.3531,0.3613,0.3524,156.72M,0.87%
9/11/2024,0.3531,0.3431,0.357,0.3301,160.07M,2.93%
9/10/2024,0.343,0.3434,0.3455,0.3377,125.02M,-0.09%
9/9/2024,0.3433,0.3388,0.3487,0.3379,160.95M,1.33%
9/8/2024,0.3389,0.3253,0.3408,0.3238,141.75M,4.18%
9/7/2024,0.3253,0.3148,0.3277,0.3147,125.85M,3.33%
9/6/2024,0.3148,0.3251,0.3317,0.3036,234.97M,-3.17%
9/5/2024,0.3251,0.3232,0.3398,0.3197,206.97M,0.59%
9/4/2024,0.3232,0.3184,0.3292,0.3061,221.30M,1.50%
9/3/2024,0.3184,0.3362,0.3395,0.3176,154.23M,-5.29%
9/2/2024,0.3362,0.3311,0.3372,0.3252,146.80M,1.52%
9/1/2024,0.3311,0.3451,0.3457,0.3277,127.60M,-4.06%
8/31/2024,0.3451,0.3468,0.3504,0.3445,77.52M,-0.49%
8/30/2024,0.3468,0.358,0.3619,0.3383,183.38M,-3.11%
8/29/2024,0.358,0.3501,0.3674,0.3494,159.12M,2.26%
8/28/2024,0.35,0.3503,0.3604,0.3408,187.67M,-0.08%
8/27/2024,0.3503,0.3661,0.3726,0.3426,180.11M,-4.30%
8/26/2024,0.3661,0.3849,0.3878,0.366,163.42M,-4.90%
8/25/2024,0.3849,0.3935,0.3938,0.378,146.13M,-2.21%
8/24/2024,0.3936,0.3911,0.4012,0.3878,145.23M,0.56%
8/23/2024,0.3914,0.3763,0.3921,0.3739,186.23M,4.01%
